"id","geom","name","population","region"
192,"0101000020E6100000FC1873D712F21840454772F90F194740","Annemasse","36250","Auvergne-Rhône-Alpes"
193,"0101000020E610000062A1D634EFB8024044696FF085514840","Sainte-Geneviève-des-Bois","36015","Île-de-France"
194,"0101000020E61000002041F163CCDD0340454772F90FA14840","Creil","35800","Hauts-de-France"
195,"0101000020E61000003108AC1C5A640440304CA60A466D4840","Neuilly-sur-Marne","35680","Île-de-France"
196,"0101000020E61000000C93A98251C90040E4141DC9E57F4840","Conflans-Sainte-Honorine","35656","Île-de-France"
197,"0101000020E610000050FC1873D7121B402D211FF46CB64540","Saint-Raphaël","35633","Provence-Alpes-Côte d’Azur"
198,"0101000020E61000008104C58F31F70140FA7E6ABC745B4840","Palaiseau","35590","Île-de-France"
199,"0101000020E61000002AA913D04458034073D712F2416F4840","Bagnolet","35442","Île-de-France"
200,"0101000020E6100000E561A1D6346F1640CA54C1A8A4964540","La Ciotat","35281","Provence-Alpes-Côte d’Azur"
201,"0101000020E61000002575029A081BE2BFF9A067B3EA634640","Villenave-d’Ornon","35278","Nouvelle-Aquitaine"
202,"0101000020E61000006666666666E619402D211FF46C2E4740","Thonon-les-Bains","35241","Auvergne-Rhône-Alpes"
203,"0101000020E6100000B1506B9A771C03405F984C158C5A4840","Athis-Mons","35101","Île-de-France"
204,"0101000020E6100000E4839ECDAA0F124085EB51B81EBD4640","Saint-Chamond","34979","Auvergne-Rhône-Alpes"
205,"0101000020E6100000166A4DF38ED30440083D9B559F2B4740","Montluçon","34938","Auvergne-Rhône-Alpes"
206,"0101000020E6100000295C8FC2F5281F40295C8FC2F5684840","Haguenau","34789","Grand Est"
207,"0101000020E610000061545227A0890C40F54A598638E64740","Auxerre","34764","Bourgogne-Franche-Comté"
208,"0101000020E6100000F0164850FC980340F6285C8FC25D4840","Villeneuve-Saint-Georges","34607","Île-de-France"
209,"0101000020E61000000B24287E8C3902407DD0B359F5614840","Châtenay-Malabry","34170","Île-de-France"
210,"0101000020E6100000F90FE9B7AF031440EEEBC03923E24640","Meyzieu","34151","Auvergne-Rhône-Alpes"
211,"0101000020E610000011C7BAB88D461040B1E1E995B2044740","Roanne","34004","Auvergne-Rhône-Alpes"
212,"0101000020E6100000C1A8A44E40531340E561A1D634274740","Mâcon","33810","Bourgogne-Franche-Comté"
213,"0101000020E6100000F31FD26F5F0704407958A835CD6B4840","Le Perreux-Sur-Marne","33793","Île-de-France"
214,"0101000020E610000048E17A14AE4717404D158C4AEA8C4540","Six-Fours-les-Plages","33665","Provence-Alpes-Côte d’Azur"
215,"0101000020E61000001973D712F2410940F38E5374247F4740","Nevers","33279","Bourgogne-Franche-Comté"
216,"0101000020E610000014D044D8F03414406744696FF0854640","Romans-sur-Isère","33160","Auvergne-Rhône-Alpes"
217,"0101000020E6100000742497FF90FE14407B14AE47E1BA4540","Vitrolles","33101","Provence-Alpes-Côte d’Azur"
218,"0101000020E61000000000000000001F402041F163CC4D4840","Schiltigheim","33069","Grand Est"
219,"0101000020E610000070CE88D2DEE0E33FA779C7293A1A4640","Agen","33012","Nouvelle-Aquitaine"
220,"0101000020E61000005B423EE8D9ACFE3F66666666667E4840","Les Mureaux","32949","Île-de-France"
221,"0101000020E61000002041F163CCDD034033333333336B4840","Nogent-sur-Marne","32922","Île-de-France"
222,"0101000020E6100000CFF753E3A5DB14406891ED7C3FB54540","Marignane","32793","Provence-Alpes-Côte d’Azur"
223,"0101000020E610000087A757CA3244004009F9A067B3624840","Montigny-le-Bretonneux","32575","Île-de-France"
224,"0101000020E61000003480B74082E20940029A081B9E164940","Cambrai","32501","Hauts-de-France"
225,"0101000020E6100000C139234A7B830140AD69DE718A764840","Houilles","32449","Île-de-France"
226,"0101000020E610000020D26F5F07CE194011363CBD52164840","Épinal","32223","Grand Est"
227,"0101000020E610000085EB51B81E050040EC51B81E85634840","Trappes","32120","Île-de-France"
228,"0101000020E6100000280F0BB5A679E13F9B559FABAD684740","Châtellerault","31733","Nouvelle-Aquitaine"
229,"0101000020E6100000ED0DBE3099AA064065AA605452374940","Lens","31606","Hauts-de-France"
230,"0101000020E61000003F575BB1BFECE6BF3411363CBD724640","Saint-Médard-en-Jalles","31536","Nouvelle-Aquitaine"
231,"0101000020E6100000BC74931804560340FDF675E09C594840","Vigneux-sur-Seine","31463","Île-de-France"
232,"0101000020E61000008E06F01648D000409F3C2CD49A864840","Pontoise","31422","Île-de-France"
233,"0101000020E6100000FB5C6DC5FEB20240A4703D0AD7634840","L’Haÿ-les-Roses","31417","Île-de-France"
234,"0101000020E6100000D656EC2FBB27FF3F8D28ED0DBE684840","Plaisir","31013","Île-de-France"
235,"0101000020E6100000D656EC2FBBA70240E8D9ACFA5C654840","Cachan","30884","Île-de-France"
236,"0101000020E6100000F931E6AE25E402404182E2C7987B4840","Pierrefitte-sur-Seine","30828","Île-de-France"
237,"0101000020E6100000098A1F63EE5A02401B0DE02D90684840","Malakoff","30711","Île-de-France"
238,"0101000020E6100000000000000000034004E78C28ED554840","Viry-Châtillon","30706","Île-de-France"
239,"0101000020E61000000612143FC6DCF53F3C4ED1915C5E4840","Dreux","30664","Centre-Val de Loire"
240,"0101000020E6100000234A7B832FCC03405C8FC2F528844840","Goussainville","30642","Île-de-France"
241,"0101000020E6100000E78C28ED0DBE0140AD69DE718A764840","Bezons","30484","Île-de-France"
242,"0101000020E6100000265305A3923A0640D95F764F1E364940","Liévin","30423","Hauts-de-France"
243,"0101000020E6100000B9FC87F4DB9713409A779CA223E94640","Rillieux-la-Pape","30410","Auvergne-Rhône-Alpes"
244,"0101000020E610000052499D802642014027A089B0E1714840","Chatou","30330","Île-de-France"
245,"0101000020E61000000000000000001E403333333333E34540","Menton","30231","Provence-Alpes-Côte d’Azur"
246,"0101000020E61000000EBE30992A18E73FFFB27BF2B0984640","Périgueux","30060","Nouvelle-Aquitaine"
247,"0101000020E61000003D0AD7A3703D03406F1283C0CA694840","Charenton-le-Pont","30053","Île-de-France"
248,"0101000020E6100000C3F5285C8FC20140EC51B81E856B4840","Saint-Cloud","30038","Île-de-France"
249,"0101000020E6100000CEAACFD556AC184040A4DFBE0E544840","Vandœuvre-lès-Nancy","30009","Grand Est"
250,"0101000020E61000000000000000000440454772F90F714840","Villemomble","30005","Île-de-France"
251,"0101000020E61000007E1D386744A91740E3A59BC420D84640","Aix-les-Bains","29993","Auvergne-Rhône-Alpes"
252,"0101000020E610000033C4B12E6E23034052B81E85EB614840","Thiais","29806","Île-de-France"
253,"0101000020E6100000B537F8C264AA0440FBCBEEC9C34A4840","Savigny-le-Temple","29792","Île-de-France"
254,"0101000020E6100000000000000000E0BF52B81E85EBF14540","Mont-de-Marsan","29683","Nouvelle-Aquitaine"
255,"0101000020E61000002BF697DD9387E1BFD6C56D3480674640","Bègles","29669","Nouvelle-Aquitaine"
256,"0101000020E61000005E4BC8073D1B0240EB73B515FB634840","Le Plessis-Robinson","29665","Île-de-France"
257,"0101000020E610000044696FF085C90F40EC51B81E85234940","Maubeuge","29632","Hauts-de-France"
258,"0101000020E6100000C0EC9E3C2C54034096B20C71AC534840","Ris-Orangis","29589","Île-de-France"
259,"0101000020E61000006C787AA52C831340174850FC18C34640","Vienne","29583","Auvergne-Rhône-Alpes"
260,"0101000020E6100000DBF97E6ABCF40140F9A067B3EA734840","La Garenne-Colombes","29430","Île-de-France"
261,"0101000020E6100000BA6B09F9A0E7034016FBCBEEC95B4840","Yerres","29338","Île-de-France"
262,"0101000020E61000002C6519E2589700403411363CBD624840","Guyancourt","29332","Île-de-France"
263,"0101000020E6100000917EFB3A70CE0B4064CC5D4BC8A74540","Agde","29090","Occitanie"
264,"0101000020E6100000BE30992A18150240AC8BDB68007F4840","Ermont","29079","Île-de-France"
265,"0101000020E6100000772D211FF46C0440DC68006F81744840","Clichy-sous-Bois","28992","Île-de-France"
